onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	Seq-1-4-AnB-OS	0.5879	animals/elephant/1.07_elephant-asian.jpg
10.7500	1.9500	Seq-2-1-IS	0.6126	fractals_experiment/greys/j10148.jpeg
13.1000	1.9500	Seq-2-2-IS	0.2848	fractals_experiment/yellows/j9081.jpeg
15.4500	1.9500	Seq-2-3-IS	0.0907	fractals_experiment/cyans/j2132.jpeg
17.8000	1.9500	Seq-2-4-AnA-IS	0.0205	animals/rhino/1.80_rhino.jpg
20.1500	1.9500	Seq-3-1-IS	0.6292	fractals_experiment/yellows/j10075.jpeg
22.5000	1.9500	Seq-3-2-IS	0.2755	fractals_experiment/pinks/j2154.jpeg
24.8500	1.9500	Seq-3-3-IS	0.0023	fractals_experiment/browns/j9039.jpeg
27.2000	1.9500	Seq-3-4-ToB-IS	0.0229	tools/teakettle/102b.jpg
29.5500	1.9500	Seq-1-2-OS	0.5056	fractals_experiment/greens/j6098.jpeg
31.9000	1.9500	NonSeq-AnB	0.6161	animals/cat/cat.jpg
34.2500	1.9500	NonSeq-ToB	0.6115	tools/tongs/tongs02b.jpg
36.6000	1.9500	NonSeq-4	0.6617	fractals_experiment/greys/j2106.jpeg
38.9500	1.9500	NonSeq-2	0.6651	fractals_experiment/browns/j10004.jpeg
41.3000	1.9500	NonSeq-3	0.7383	fractals_experiment/pinks/j8014.jpeg
43.6500	1.9500	Seq-1-1-OS	0.7691	fractals_experiment/cyans/j7082.jpeg
46.0000	1.9500	Seq-4-1-IS	0.6831	fractals_experiment/blues/j2153.jpeg
48.3500	1.9500	Seq-4-2-IS	0.0151	fractals_experiment/purples/j7095.jpeg
50.7000	1.9500	Seq-4-3-IS	0.3309	fractals_experiment/reds/j2003.jpeg
53.0500	1.9500	Seq-4-4-ToA-IS	0.0127	tools/whisk/102a.jpg
55.4000	1.9500	NonSeq-1	0.5692	fractals_experiment/greens/j2093.jpeg
57.7500	1.9500	Seq-1-3-OS	1.3138	fractals_experiment/blues/j1004.jpeg
60.1000	1.9500	NonSeq-6	0.7295	fractals_experiment/purples/j3094.jpeg
62.4500	1.9500	NonSeq-5	0.6239	fractals_experiment/reds/j2059.jpeg
64.8000	1.9500	Seq-3-1-OS	0.6807	fractals_experiment/yellows/j10075.jpeg
67.1500	1.9500	NonSeq-5	0.1476	fractals_experiment/reds/j2059.jpeg
69.5000	1.9500	Seq-2-1-IS	0.6523	fractals_experiment/greys/j10148.jpeg
71.8500	1.9500	Seq-2-2-IS	0.2588	fractals_experiment/yellows/j9081.jpeg
74.2000	1.9500	Seq-2-3-IS	0.0023	fractals_experiment/cyans/j2132.jpeg
76.5500	1.9500	Seq-2-4-AnB-IS	0.0023	animals/rhino/Match_0382.jpg
78.9000	1.9500	Seq-3-4-ToA-OS	0.5376	tools/teakettle/102a.jpg
81.2500	1.9500	NonSeq-2	0.5642	fractals_experiment/browns/j10004.jpeg
83.6000	1.9500	Seq-4-1-IS	0.7232	fractals_experiment/blues/j2153.jpeg
85.9500	1.9500	Seq-4-2-IS	0.2453	fractals_experiment/purples/j7095.jpeg
88.3000	1.9500	Seq-4-3-IS	0.0022	fractals_experiment/reds/j2003.jpeg
90.6500	1.9500	Seq-4-4-ToA-IS	0.1251	tools/whisk/102a.jpg
93.0000	1.9500	Seq-1-1-IS	0.7848	fractals_experiment/cyans/j7082.jpeg
95.3500	1.9500	Seq-1-2-IS	0.2827	fractals_experiment/greens/j6098.jpeg
97.7000	1.9500	Seq-1-3-IS	0.0023	fractals_experiment/blues/j1004.jpeg
